MARCA,ELEMENTOS TEXTUAIS,ELEMENTOS NÃO-TEXTUAIS,DATA,LINK,REDE,SEGMENTO
PETROBRAS,"Supercomputador mais poderoso da América Latina, o Santos Dumont contribuirá, e muito, para aumentar a precisão da análise de dados do pré-sal. Conheça, no #NossaEnergia, suas especificações técnicas e outras aplicações possíveis.",LINK COM FOTO,29/11/19,https://twitter.com/petrobras/status/1200509886574018561,TWITTER,ENERGIA
PETROBRAS,"A soltura dos peixes-bois Vitória e Parajuru é uma história emocionante e muito significativa para a conservação da espécie. Saiba, no #NossaEnergia, como foi a atuação do projeto parceiro Viva o Peixe-Boi Marinho para readaptar os dois animais à natureza. (◕(' 人 ')◕)",LINK COM FOTO,29/11/19,https://twitter.com/petrobras/status/1200482289744011266,TWITTER,ENERGIA
PETROBRAS,"Aprovado o nosso Plano Estratégico 2020-2024, que reafirma nosso compromisso de ser uma companhia mais robusta financeiramente e com baixo endividamento e custo de capital. Saiba mais:",LINK COM FOTO,28/11/19,https://twitter.com/petrobras/status/1200140835557400576,TWITTER,ENERGIA
PETROBRAS,"Criamos um painel de controle com dados atualizados sobre nossa atuação na limpeza do óleo nas praias. Com isso, Ibama, @marmilbr e outras entidades envolvidas têm acesso a uma visão geral dessa megaoperação. Saiba mais:",LINK COM FOTO,28/11/19,https://twitter.com/petrobras/status/1200085906956410880,TWITTER,ENERGIA
PETROBRAS,"Fechamos o acordo para que uma nova empresa assuma a operação das Fábricas de Fertilizantes da Bahia (Fafen-BA) e Sergipe (Fafen-SE). Com isso, as unidades vão voltar a produzir, gerar empregos e riquezas para a sociedade. Saiba mais:",LINK COM FOTO,27/11/19,https://twitter.com/petrobras/status/1199795278653591554,TWITTER,ENERGIA
PETROBRAS,"Queremos contribuir para o futuro das novas gerações. Conheça o trabalho de educação ambiental realizado pelos projetos @merosdobrasil e @projetolontra, dois de nossos parceiros nessa jornada pelo aprendizado. É empatia com os animais e muita brincadeira envolvida. Saiba mais:",LINK COM FOTO,27/11/19,https://twitter.com/petrobras/status/1199759488229814275,TWITTER,ENERGIA
PETROBRAS,Os projetos socioambientais que apoiamos também estão contribuindo para a limpeza das praias. Saiba como tem sido a atuação deles junto a diferentes órgãos e às comunidades locais:,LINK COM FOTO,27/11/19,https://twitter.com/petrobras/status/1199680930794881024,TWITTER,ENERGIA
PETROBRAS,"Estamos sempre em movimento e em constante evolução. 2019 foi o ano da guinada em direção a uma companhia ainda mais forte e mais eficiente.

Veja os principais acontecimentos desse ano, que foi marcado pelo início de uma transformação para nos tornarmos uma empresa ainda melhor.",VIDEO,27/12/19,https://www.facebook.com/petrobras/videos/2812274752167041/?__xts__[0]=68.ARAwG3JX56Kg4_QZIZse2ZOPXpRPj2EA8JESRix0EPPflHD8a2J6RTGbPEaqfzw-SPIFGj-ijtKakRVUhi4SDG8kjPUNZbLo2ngxVMd8fm3tYdmUcPEZtawq3RyETEVJOBRxaWrasccGDfS6WwgoJ9q9rHhhB7EIDozJDDwgPvRxjTT2W7db9pNrqTKEWVAarTVn3-TR6KCd-93Pa2BRq750k6kBbcT9aerPfqVZo_qHpfZbf8oljpjcQZSizZFtQ0kgLS6EVANUwv6cFPRfZImosSsBr8mfmd5De8swmSH78w2RRPatO9F9jrkONz8QBRUC-XRZUhotERpuhxzefqgfr21fnf_o&__tn__=-R,FACEBOOK,ENERGIA
PETROBRAS,"Final de ano é hora de expectativas renovadas e planos para o futuro. As crianças pensam longe e sonham alto. E a gente quer dar mais asas à imaginação, contribuindo com a #NossaEnergia para transformar realidades desde cedo. ",VIDEO,23/12/19,https://www.facebook.com/petrobras/videos/986700988364997/?__xts__[0]=68.ARCKxlK9jeLPUjWsnB0ObdKPho8jkZ7B22gO_AQBs39gbZoTqXGG6ZND2pJz0fwbJOgOUuh3tZRQuLfNKtOGTH4LRP-he9m-uVKQ6ADunTkz4rG0YCgaCY19HlnW4ffLp65Qpx7TKSUk2NmSS9Nd9aSZFCW5EHdUbbvsgBuGBrB3enNHciv5v-b-2vaJII7kXAy4hbklTJ8jnqS4-zHIPQ6cmrlzWkD4l9V1ZHhNcoKaEm7QRCp66M0i_Ax-wTzclag1ARYsp7yoniyczfxl9Wm4V3uNF9bJ6IFtZimnl4eCWFAUrFGtmcwaWkI0_ZH1iSReu2VbCXMxCUK-LKoxMd1CMOXeyU5g&__tn__=-R,FACEBOOK,ENERGIA
PETROBRAS,"Ter o talento reconhecido por inovações que serão um legado para a indústria mundial de petróleo e gás não tem preço. Recebemos, neste ano, o Prêmio OTC Brasil por cinco tecnologias pioneiras que desenvolvemos no Teste de Longa Duração do bloco de Libra, no pré-sal da bacia de Santos. São inovações que foram cruciais para termos batido, neste bloco, o recorde de produção média mensal por meio de um único poço offshore. Isso é possível graças às nossas equipes que, com seu talento e capacidade técnica, transformam os desafios em oportunidades e realizações. Relembre conosco esse momento!",LINK COM FOTO,23/12/19,https://www.facebook.com/petrobras/posts/10163327003960131?__xts__[0]=68.ARBkY-1vcTIiDeQIg0wjENQC3fgLGvesIrDuckMhzi6xIXtt6PVnOxyXSOWE92MQswhyV3RYEkaTm97EicS9GKtNPNUQok28XdZO8OzGJOHqCBXXHdosqegT4HX6GF7TfjPV1Hfn_LNKoFucCXhK67_8xLqyZUbyNd1yawmt8N403rVlm3-RaQ6CeKjSvabLgX7r2bNgWkbRqf3Lf82uv_tkTlkc4lMBU86s2nL0CW8FXnnt0sUtB3kHfYulWZwqrMusUVVANK4GX8vhgKDd72QblBIRThvH3H53JYZImNWEfpNpF0OmRvD_-sI5UYAb_V-FrG_fG5a_pL1LytTniboj8A9sq58mZ7f5NZpZOch2GXZsnZU_j1-Elm34B0f8zU97u40eVi97iApvOz4IqWLp3d9G35odhS0HnYPoyaiFFrNJmUiLsa1Bh-C9ZfmTAe8O_7Y6Co4yYnh79pIsTmfR54h6PPUyB_M0OhVVw12tLA&__tn__=-R,FACEBOOK,ENERGIA
